ID;Age;Km;Price
2;3;45.000;$2.750.000
4;6;143.147;$4.500.000
5;1;9.261;$6.000.000
6;6;105.000;$7.500.000
7;10;268.000;$8.500.000
8;11;190.000;$8.700.000
9;11;111.111;$8.900.000
10;7;200.000;$10.500.000
11;9;276.000;$11.500.000
12;8;190.000;$11.700.000
13;9;270.000;$11.990.000
14;8;111.500;$12.000.000
15;8;140.000;$12.390.000
17;8;350.000;$12.490.000
18;8;98.000;$12.500.000
19;10;179.000;$12.500.000
20;7;85.000;$12.500.000
21;7;99.000;$12.600.000
22;9;172.526;$12.790.000
23;9;209.000;$12.890.000
24;7;128.000;$12.900.000
25;9;336.000;$12.950.000
26;10;126.000;$13.000.000
27;8;140.000;$13.000.000
28;8;228.000;$13.000.000
29;10;250.000;$13.000.000
30;7;155.000;$13.190.000
31;8;128.000;$13.200.000
32;8;112.000;$13.500.000
34;6;112.702;$13.500.000
35;7;156.000;$13.600.000
37;8;172.000;$13.850.000
38;7;150.000;$13.950.000
39;7;70.000;$13.990.000
40;7;140.000;$14.000.000
41;7;106.594;$14.000.000
42;8;129.000;$14.000.000
43;7;124.000;$14.000.000
44;7;162.000;$14.400.000
45;8;160.000;$14.450.000
46;8;160.000;$14.450.000
47;6;220.000;$14.500.000
48;8;118.000;$14.500.000
49;8;130.000;$14.500.000
50;7;190.000;$14.550.000
51;7;141.009;$14.590.000
52;7;141.009;$14.590.000
53;8;138.000;$14.850.000
54;7;150.000;$14.950.000
55;6;219.000;$14.950.000
56;7;173.000;$14.980.000
57;8;119.000;$14.990.000
58;5;158.800;$14.990.000
61;7;102.378;$14.990.000
62;8;141.000;$15.000.000
63;6;154.680;$15.000.000
64;8;153.600;$15.000.000
65;7;138.600;$15.000.000
66;6;153.000;$15.000.000
67;7;116.000;$15.000.000
68;7;95.000;$15.200.000
69;7;26.054;$15.490.000
70;6;89.000;$15.490.000
71;5;110.000;$15.500.000
72;8;198.000;$15.500.000
73;5;140.000;$15.500.000
74;6;94.000;$15.500.000
75;4;127.000;$15.750.000
76;4;115.000;$15.750.000
77;4;86.352;$15.850.000
78;4;102.000;$15.890.000
79;6;129.026;$15.900.000
80;6;101.737;$15.900.000
81;6;179.410;$15.900.000
82;6;89.000;$15.900.000
83;5;80.700;$15.950.000
84;6;190.000;$15.980.000
86;7;62.000;$15.990.000
87;6;158.704;$15.990.000
88;5;157.000;$15.990.000
89;6;171.900;$15.990.000
91;6;82.000;$16.000.000
92;6;83.000;$16.190.000
93;5;109.666;$16.200.000
94;4;65.000;$16.390.000
95;5;153.000;$16.450.000
96;10;118.000;$16.480.000
97;5;35.000;$16.490.000
98;6;85.000;$16.500.000
99;6;71.592;$16.500.000
100;6;78.000;$16.500.000
